"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"STR_OZS_SLOTS_GEAR","Спорядження","Gear","Спорядження","Спорядження","Спорядження","Спорядження","Спорядження","Спорядження","Спорядження","Спорядження","Спорядження","Спорядження","Спорядження","Спорядження","Спорядження",
"STR_OZS_SLOTS_WEAPONS","Зброя","Weapons","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя","Зброя",
"STR_OZS_TITLE","Скриня","Storage box","Скриня","Скриня","Скриня","Скриня","Скриня","Скриня","Скриня","Скриня","Скриня","Скриня","Скриня","Скриня",
"STR_OZS_OPEN","Відкрити скриню","Open the box","Відкрити скриню","Відкрити скриню","Відкрити скриню","Відкрити скриню","Відкрити скриню","Відкрити скриню","Відкрити скриню","Відкрити скриню","Відкрити скриню","Відкрити скриню","Відкрити скриню","Відкрити скриню",
"STR_OZS_CLOSE","Закрити скриню","Close the box","Закрити скриню","Закрити скриню","Закрити скриню","Закрити скриню","Закрити скриню","Закрити скриню","Закрити скриню","Закрити скриню","Закрити скриню","Закрити скриню","Закрити скриню","Закрити скриню",
"STR_OZS_BUSY","Скринею хтось користується","Someone is using the box","Скринею хтось користується","Скринею хтось користується","Скринею хтось користується","Скринею хтось користується","Скринею хтось користується","Скринею хтось користується","Скринею хтось користується","Скринею хтось користується","Скринею хтось користується","Скринею хтось користується","Скринею хтось користується","Скринею хтось користується",
"STR_OZS_STORE_FAILED","Скриня не змогла зберегти вміст, нічого не прибрано","The box could not save its contents, nothing was removed","Скриня не змогла зберегти вміст, нічого не прибрано","Скриня не змогла зберегти вміст, нічого не прибрано","Скриня не змогла зберегти вміст, нічого не прибрано","Скриня не змогла зберегти вміст, нічого не прибрано","Скриня не змогла зберегти вміст, нічого не прибрано","Скриня не змогла зберегти вміст, нічого не прибрано","Скриня не змогла зберегти вміст, нічого не прибрано","Скриня не змогла зберегти вміст, нічого не прибрано","Скриня не змогла зберегти вміст, нічого не прибрано","Скриня не змогла зберегти вміст, нічого не прибрано","Скриня не змогла зберегти вміст, нічого не прибрано","Скриня не змогла зберегти вміст, нічого не прибрано",
"STR_OZS_OPEN_FAILED","Вміст скрині не читається, потрібен адміністратор","The box's contents cannot be read, an admin is needed","Вміст скрині не читається, потрібен адміністратор","Вміст скрині не читається, потрібен адміністратор","Вміст скрині не читається, потрібен адміністратор","Вміст скрині не читається, потрібен адміністратор","Вміст скрині не читається, потрібен адміністратор","Вміст скрині не читається, потрібен адміністратор","Вміст скрині не читається, потрібен адміністратор","Вміст скрині не читається, потрібен адміністратор","Вміст скрині не читається, потрібен адміністратор","Вміст скрині не читається, потрібен адміністратор","Вміст скрині не читається, потрібен адміністратор","Вміст скрині не читається, потрібен адміністратор",
"STR_OZS_KIT_SMALL","Набір: мала скриня","Small storage box kit","Набір: мала скриня","Набір: мала скриня","Набір: мала скриня","Набір: мала скриня","Набір: мала скриня","Набір: мала скриня","Набір: мала скриня","Набір: мала скриня","Набір: мала скриня","Набір: мала скриня","Набір: мала скриня","Набір: мала скриня",
"STR_OZS_KIT_SMALL_DESC","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Deploys from the hands: aim the hologram, turn it with the mouse wheel and hold the action for ten seconds. Becomes a small box of 250 cells.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає малою скринею на 250 комірок.",
"STR_OZS_KIT_MEDIUM","Набір: середня скриня","Medium storage box kit","Набір: середня скриня","Набір: середня скриня","Набір: середня скриня","Набір: середня скриня","Набір: середня скриня","Набір: середня скриня","Набір: середня скриня","Набір: середня скриня","Набір: середня скриня","Набір: середня скриня","Набір: середня скриня","Набір: середня скриня",
"STR_OZS_KIT_MEDIUM_DESC","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Deploys from the hands: aim the hologram, turn it with the mouse wheel and hold the action for ten seconds. Becomes a medium box of 500 cells.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає середньою скринею на 500 комірок.",
"STR_OZS_KIT_LARGE","Набір: велика скриня","Large storage box kit","Набір: велика скриня","Набір: велика скриня","Набір: велика скриня","Набір: велика скриня","Набір: велика скриня","Набір: велика скриня","Набір: велика скриня","Набір: велика скриня","Набір: велика скриня","Набір: велика скриня","Набір: велика скриня","Набір: велика скриня",
"STR_OZS_KIT_LARGE_DESC","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Deploys from the hands: aim the hologram, turn it with the mouse wheel and hold the action for ten seconds. Becomes a large box of 1000 cells.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.","Установлюється з рук: наведіть голограму, поверніть її коліщатком і утримуйте дію десять секунд. Стає великою скринею на 1000 комірок.",
"STR_OZS_SEARCH","Пошук","Search","Пошук","Пошук","Пошук","Пошук","Пошук","Пошук","Пошук","Пошук","Пошук","Пошук","Пошук","Пошук",
"STR_OZS_LOADING","Завантаження","Loading","Завантаження","Завантаження","Завантаження","Завантаження","Завантаження","Завантаження","Завантаження","Завантаження","Завантаження","Завантаження","Завантаження","Завантаження",
"STR_OZS_SORT","Сортувати","Sort","Сортувати","Сортувати","Сортувати","Сортувати","Сортувати","Сортувати","Сортувати","Сортувати","Сортувати","Сортувати","Сортувати","Сортувати",
"STR_OZS_SORTING","Скриня сортується","The box is being sorted","Скриня сортується","Скриня сортується","Скриня сортується","Скриня сортується","Скриня сортується","Скриня сортується","Скриня сортується","Скриня сортується","Скриня сортується","Скриня сортується","Скриня сортується","Скриня сортується",
"STR_OZS_SORT_WAIT","Сортувати можна раз на десять секунд","Sorting is allowed once in ten seconds","Сортувати можна раз на десять секунд","Сортувати можна раз на десять секунд","Сортувати можна раз на десять секунд","Сортувати можна раз на десять секунд","Сортувати можна раз на десять секунд","Сортувати можна раз на десять секунд","Сортувати можна раз на десять секунд","Сортувати можна раз на десять секунд","Сортувати можна раз на десять секунд","Сортувати можна раз на десять секунд","Сортувати можна раз на десять секунд","Сортувати можна раз на десять секунд",
"STR_OZS_OPENING","Скриня ще не готова","The box is not ready yet","Скриня ще не готова","Скриня ще не готова","Скриня ще не готова","Скриня ще не готова","Скриня ще не готова","Скриня ще не готова","Скриня ще не готова","Скриня ще не готова","Скриня ще не готова","Скриня ще не готова","Скриня ще не готова","Скриня ще не готова",
"STR_OZS_COUNT","Підрахунок","Count","Підрахунок","Підрахунок","Підрахунок","Підрахунок","Підрахунок","Підрахунок","Підрахунок","Підрахунок","Підрахунок","Підрахунок","Підрахунок","Підрахунок",
"STR_OZS_COUNT_TOTAL","Разом предметів","Items in total","Разом предметів","Разом предметів","Разом предметів","Разом предметів","Разом предметів","Разом предметів","Разом предметів","Разом предметів","Разом предметів","Разом предметів","Разом предметів","Разом предметів",
"STR_OZS_COUNT_EMPTY","Порожньо","Empty","Порожньо","Порожньо","Порожньо","Порожньо","Порожньо","Порожньо","Порожньо","Порожньо","Порожньо","Порожньо","Порожньо","Порожньо",
"STR_OZS_COUNT_PIECES","шт.","pcs","шт.","шт.","шт.","шт.","шт.","шт.","шт.","шт.","шт.","шт.","шт.","шт.",
"STR_OZS_COUNT_MORE","ще класів:","more classes:","ще класів:","ще класів:","ще класів:","ще класів:","ще класів:","ще класів:","ще класів:","ще класів:","ще класів:","ще класів:","ще класів:","ще класів:",
